phase,office,service,count
0,A1,P,2.0
0,A2,P,2.0
0,B1,O,1.0
0,B1,M,1.0
0,B2,S,2.0
0,B3,O,1.0
0,B3,T,1.0
0,C1,T,2.0
0,C2,S,2.0
0,D1,T,1.0
0,D2,M,1.0
0,D3,M,2.0
1,A1,P,2.0
1,A2,P,2.0
1,C1,T,2.0
1,C2,S,2.0
1,D1,T,1.0
1,D1,M,1.0
1,D2,S,1.0
1,D2,M,1.0
1,D3,M,2.0
1,E1,S,1.0
1,E1,O,1.0
1,E2,O,1.0
1,E2,T,1.0
2,A1,P,2.0
2,A2,P,2.0
2,B1,S,1.0
2,B1,M,1.0
2,B2,M,2.0
2,B3,S,0.5
2,B3,T,0.5
2,B3,M,1.0
2,C1,T,2.0
2,C2,S,1.5
2,C2,T,0.5
2,E1,S,1.0
2,E1,O,1.0
2,E2,O,1.0
2,E2,T,1.0
3,A1,P,2.0
3,A2,P,1.5
3,B1,S,1.0
3,B1,M,1.0
3,B2,M,2.0
3,B3,S,0.5
3,B3,M,1.0
3,D1,T,1.0
3,D2,S,0.5
3,D2,T,1.5
3,D3,P,0.5
3,D3,S,0.5
3,D3,T,1.0
3,E1,S,1.0
3,E1,O,1.0
3,E2,S,0.5
3,E2,O,1.0
3,E2,T,0.5
4,B1,P,1.0
4,B1,M,1.0
4,B2,M,2.0
4,B3,S,0.5
4,B3,M,1.0
4,C1,P,0.5
4,C1,S,1.5
4,C2,P,1.5
4,C2,S,0.5
4,D1,T,1.0
4,D2,P,0.5
4,D2,T,1.5
4,D3,P,0.5
4,D3,T,1.0
4,E1,S,1.0
4,E1,O,1.0
4,E2,S,0.5
4,E2,O,1.0
4,E2,T,0.5
5,A1,P,2.0
5,A2,P,2.0
5,B1,M,1.0
5,B2,M,2.0
5,B3,M,1.0
5,C1,S,2.0
5,C2,S,2.0
5,D1,T,1.0
5,D2,T,2.0
5,D3,T,1.0
5,E1,O,1.0
5,E2,O,1.0
