type,phase,office,service,multiplier
FI_beta,2,E2,P,100.0
FI_beta,2,E2,S,100.0
FI_beta,2,E2,O,-0.0
FI_beta,2,E2,T,100.0
FI_beta,2,E2,M,100.0
FI_beta,3,A1,P,-0.0
FI_beta,3,A1,S,100.0
FI_beta,3,A1,O,100.0
FI_beta,3,A1,T,100.0
FI_beta,3,A1,M,100.0
FI_beta,3,A2,P,-0.0
FI_beta,3,A2,S,100.0
FI_beta,3,A2,O,100.0
FI_beta,3,A2,T,100.0
FI_beta,3,A2,M,100.0
FI_beta,3,B1,P,100.0
FI_beta,3,B1,S,100.0
FI_beta,3,B1,O,100.0
FI_beta,3,B1,T,100.0
FI_beta,3,B1,M,-0.0
FI_beta,3,B2,P,100.0
FI_beta,3,B2,S,100.0
FI_beta,3,B2,O,100.0
FI_beta,3,B2,T,100.0
FI_beta,3,B2,M,-0.0
FI_beta,3,B3,P,100.0
FI_beta,3,B3,S,100.0
FI_beta,3,B3,O,100.0
FI_beta,3,B3,T,100.0
FI_beta,3,B3,M,-0.0
FI_beta,3,C1,P,-0.0
FI_beta,3,C1,S,101.0
FI_beta,3,C1,O,-0.0
FI_beta,3,C1,T,-0.0
FI_beta,3,C1,M,-0.0
FI_beta,3,C2,P,-0.0
FI_beta,3,C2,S,101.0
FI_beta,3,C2,O,-0.0
FI_beta,3,C2,T,-0.0
FI_beta,3,C2,M,-0.0
FI_beta,3,D1,P,100.0
FI_beta,3,D1,S,100.0
FI_beta,3,D1,O,100.0
FI_beta,3,D1,T,-1.0
FI_beta,3,D1,M,100.0
FI_beta,3,D2,P,100.0
FI_beta,3,D2,S,100.0
FI_beta,3,D2,O,100.0
FI_beta,3,D2,T,-1.0
FI_beta,3,D2,M,100.0
FI_beta,3,D3,P,100.0
FI_beta,3,D3,S,100.0
FI_beta,3,D3,O,100.0
FI_beta,3,D3,T,-1.0
FI_beta,3,D3,M,100.0
FI_beta,3,E1,P,100.0
FI_beta,3,E1,S,100.0
FI_beta,3,E1,O,-0.0
FI_beta,3,E1,T,100.0
FI_beta,3,E1,M,100.0
FI_beta,3,E2,P,100.0
FI_beta,3,E2,S,100.0
FI_beta,3,E2,O,-0.0
FI_beta,3,E2,T,100.0
FI_beta,3,E2,M,100.0
FI_beta,4,A1,P,1.0
FI_beta,4,A1,S,-0.0
FI_beta,4,A1,O,-0.0
FI_beta,4,A1,T,-0.0
FI_beta,4,A1,M,-0.0
FI_beta,4,A2,P,1.0
FI_beta,4,A2,S,-0.0
FI_beta,4,A2,O,-0.0
FI_beta,4,A2,T,-0.0
FI_beta,4,A2,M,-0.0
FI_beta,4,B1,P,-0.0
FI_beta,4,B1,S,-0.0
FI_beta,4,B1,O,-0.0
FI_beta,4,B1,T,-0.0
FI_beta,4,B1,M,-0.0
FI_beta,4,B2,P,-0.0
FI_beta,4,B2,S,-0.0
FI_beta,4,B2,O,-0.0
FI_beta,4,B2,T,-0.0
FI_beta,4,B2,M,-0.0
FI_beta,4,B3,P,-0.0
FI_beta,4,B3,S,-0.0
FI_beta,4,B3,O,-0.0
FI_beta,4,B3,T,-0.0
FI_beta,4,B3,M,-0.0
FI_beta,4,C1,P,-0.0
FI_beta,4,C1,S,-1.0
FI_beta,4,C1,O,-0.0
FI_beta,4,C1,T,-0.0
FI_beta,4,C1,M,-0.0
FI_beta,4,C2,P,-0.0
FI_beta,4,C2,S,-1.0
FI_beta,4,C2,O,-0.0
FI_beta,4,C2,T,-0.0
FI_beta,4,C2,M,-0.0
FI_beta,4,D1,P,-0.0
FI_beta,4,D1,S,-0.0
FI_beta,4,D1,O,-0.0
FI_beta,4,D1,T,-0.0
FI_beta,4,D1,M,-0.0
FI_beta,4,D2,P,-0.0
FI_beta,4,D2,S,-0.0
FI_beta,4,D2,O,-0.0
FI_beta,4,D2,T,-0.0
FI_beta,4,D2,M,-0.0
FI_beta,4,D3,P,-0.0
FI_beta,4,D3,S,-0.0
FI_beta,4,D3,O,-0.0
FI_beta,4,D3,T,-0.0
FI_beta,4,D3,M,-0.0
FI_beta,4,E1,P,-0.0
FI_beta,4,E1,S,-0.0
FI_beta,4,E1,O,-0.0
FI_beta,4,E1,T,-0.0
FI_beta,4,E1,M,-0.0
FI_beta,4,E2,P,-0.0
FI_beta,4,E2,S,-0.0
FI_beta,4,E2,O,-0.0
FI_beta,4,E2,T,-0.0
FI_beta,4,E2,M,-0.0
FI_beta,5,A1,P,-101.0
FI_beta,5,A1,S,-0.0
FI_beta,5,A1,O,-0.0
FI_beta,5,A1,T,-0.0
FI_beta,5,A1,M,-0.0
FI_beta,5,A2,P,-101.0
FI_beta,5,A2,S,-0.0
FI_beta,5,A2,O,-0.0
FI_beta,5,A2,T,-0.0
FI_beta,5,A2,M,-0.0
FI_beta,5,B1,P,-0.0
FI_beta,5,B1,S,-0.0
FI_beta,5,B1,O,-0.0
FI_beta,5,B1,T,-0.0
FI_beta,5,B1,M,-0.0
FI_beta,5,B2,P,-0.0
FI_beta,5,B2,S,-0.0
FI_beta,5,B2,O,-0.0
FI_beta,5,B2,T,-0.0
FI_beta,5,B2,M,-0.0
FI_beta,5,B3,P,-0.0
FI_beta,5,B3,S,-0.0
FI_beta,5,B3,O,-0.0
FI_beta,5,B3,T,-0.0
FI_beta,5,B3,M,-0.0
FI_beta,5,C1,P,-0.0
FI_beta,5,C1,S,-0.0
FI_beta,5,C1,O,-0.0
FI_beta,5,C1,T,-0.0
FI_beta,5,C1,M,-0.0
FI_beta,5,C2,P,-0.0
FI_beta,5,C2,S,-1.0
FI_beta,5,C2,O,-0.0
FI_beta,5,C2,T,-0.0
FI_beta,5,C2,M,-0.0
FI_beta,5,D1,P,-0.0
FI_beta,5,D1,S,-0.0
FI_beta,5,D1,O,-0.0
FI_beta,5,D1,T,-0.0
FI_beta,5,D1,M,-0.0
FI_beta,5,D2,P,-0.0
FI_beta,5,D2,S,-0.0
FI_beta,5,D2,O,-0.0
FI_beta,5,D2,T,-0.0
FI_beta,5,D2,M,-0.0
FI_beta,5,D3,P,-0.0
FI_beta,5,D3,S,-0.0
FI_beta,5,D3,O,-0.0
FI_beta,5,D3,T,-0.0
FI_beta,5,D3,M,-0.0
FI_beta,5,E1,P,-0.0
FI_beta,5,E1,S,-0.0
FI_beta,5,E1,O,-0.0
FI_beta,5,E1,T,-0.0
FI_beta,5,E1,M,-0.0
FI_beta,5,E2,P,-0.0
FI_beta,5,E2,S,-0.0
FI_beta,5,E2,O,-0.0
FI_beta,5,E2,T,-0.0
FI_beta,5,E2,M,-0.0
UNAV_delta,0,E1,P,-0.0
UNAV_delta,0,E1,S,-0.0
UNAV_delta,0,E1,O,-101.0
UNAV_delta,0,E1,T,-0.0
UNAV_delta,0,E1,M,-0.0
