var,i,j,service,phase,value,lower_dual
x,B2,A2,O,0,0.0,2.0
x,B2,A2,T,0,0.0,2.0
x,B2,A2,M,0,0.0,1.0
x,B2,B1,P,0,0.0,2.0
x,B2,B1,O,0,0.0,3.0
x,B2,B1,T,0,0.0,2.0
x,B2,B1,M,0,0.0,2.0
x,B2,B2,P,0,0.0,1.0
x,B2,B2,O,0,0.0,1.0
x,B2,B2,T,0,0.0,1.0
x,B2,B3,P,0,0.0,2.0
x,B2,B3,O,0,0.0,3.0
x,B2,B3,T,0,0.0,3.0
x,B2,B3,M,0,0.0,1.0
x,B2,C1,P,0,0.0,2.0
x,B2,C1,O,0,0.0,2.0
x,B2,C1,T,0,0.0,2.0
x,B2,C1,M,0,0.0,2.0
x,B2,C2,P,0,0.0,2.0
x,B2,C2,S,0,0.0,1.0
x,B2,C2,O,0,0.0,2.0
x,B2,C2,T,0,0.0,2.0
x,B2,C2,M,0,0.0,1.0
x,B2,D1,P,0,0.0,2.0
x,B2,D1,O,0,0.0,2.0
x,B2,D1,T,0,0.0,2.0
x,B2,D1,M,0,0.0,1.0
x,B2,D2,P,0,0.0,2.0
x,B2,D2,O,0,0.0,2.0
x,B2,D2,T,0,0.0,2.0
x,B2,D2,M,0,0.0,1.0
x,B2,D3,P,0,0.0,2.0
x,B2,D3,O,0,0.0,2.0
x,B2,D3,T,0,0.0,2.0
x,B2,D3,M,0,0.0,1.0
x,B2,E1,P,0,0.0,2.0
x,B2,E1,O,0,0.0,2.0
x,B2,E1,T,0,0.0,2.0
x,B2,E1,M,0,0.0,1.0
x,B2,E2,P,0,0.0,2.0
x,B2,E2,O,0,0.0,2.0
x,B2,E2,T,0,0.0,2.0
x,B2,E2,M,0,0.0,1.0
x,B3,A1,P,0,0.0,3.0
x,B3,A1,S,0,0.0,2.0
x,B3,A1,M,0,0.0,1.0
x,B3,A2,P,0,0.0,3.0
x,B3,A2,S,0,0.0,2.0
x,B3,A2,M,0,0.0,1.0
x,B3,B1,P,0,0.0,2.0
x,B3,B1,S,0,0.0,2.0
x,B3,B1,O,0,0.0,1.0
x,B3,B1,M,0,0.0,2.0
x,B3,B2,P,0,0.0,2.0
x,B3,B2,S,0,0.0,3.0
x,B3,B2,M,0,0.0,1.0
x,B3,B3,P,0,0.0,1.0
x,B3,B3,S,0,0.0,1.0
x,B3,C1,P,0,0.0,2.0
x,B3,C1,S,0,0.0,2.0
x,B3,C1,M,0,0.0,2.0
x,B3,C2,P,0,0.0,2.0
x,B3,C2,S,0,0.0,3.0
x,B3,C2,M,0,0.0,1.0
x,B3,D1,P,0,0.0,2.0
x,B3,D1,S,0,0.0,2.0
x,B3,D1,M,0,0.0,1.0
x,B3,D2,P,0,0.0,2.0
x,B3,D2,S,0,0.0,2.0
x,B3,D2,M,0,0.0,1.0
x,B3,D3,P,0,0.0,2.0
x,B3,D3,S,0,0.0,2.0
x,B3,D3,M,0,0.0,1.0
x,B3,E1,P,0,0.0,2.0
x,B3,E1,S,0,0.0,2.0
x,B3,E1,M,0,0.0,1.0
x,B3,E2,P,0,0.0,2.0
x,B3,E2,S,0,0.0,2.0
x,B3,E2,M,0,0.0,1.0
x,C1,A1,P,0,0.0,3.0
x,C1,A1,S,0,0.0,2.0
x,C1,A1,O,0,0.0,2.0
x,C1,A1,T,0,0.0,1.0
x,C1,A1,M,0,0.0,1.0
x,C1,A2,P,0,0.0,3.0
x,C1,A2,S,0,0.0,2.0
x,C1,A2,O,0,0.0,2.0
x,C1,A2,T,0,0.0,1.0
x,C1,A2,M,0,0.0,1.0
x,C1,B1,P,0,0.0,2.0
x,C1,B1,S,0,0.0,2.0
x,C1,B1,O,0,0.0,3.0
x,C1,B1,T,0,0.0,1.0
x,C1,B1,M,0,0.0,2.0
x,C1,B2,P,0,0.0,2.0
x,C1,B2,S,0,0.0,3.0
x,C1,B2,O,0,0.0,2.0
x,C1,B2,T,0,0.0,1.0
x,C1,B2,M,0,0.0,1.0
x,C1,B3,P,0,0.0,2.0
x,C1,B3,S,0,0.0,2.0
x,C1,B3,O,0,0.0,3.0
x,C1,B3,T,0,0.0,2.0
x,C1,B3,M,0,0.0,1.0
x,C1,C1,P,0,0.0,1.0
x,C1,C1,S,0,0.0,1.0
x,C1,C1,O,0,0.0,1.0
x,C1,C1,M,0,0.0,1.0
x,C1,C2,P,0,0.0,2.0
x,C1,C2,S,0,0.0,3.0
x,C1,C2,O,0,0.0,2.0
x,C1,C2,T,0,0.0,1.0
x,C1,C2,M,0,0.0,1.0
x,C1,D1,P,0,0.0,2.0
x,C1,D1,S,0,0.0,2.0
x,C1,D1,O,0,0.0,2.0
x,C1,D1,T,0,0.0,1.0
x,C1,D1,M,0,0.0,1.0
x,C1,D2,P,0,0.0,2.0
x,C1,D2,S,0,0.0,2.0
x,C1,D2,O,0,0.0,2.0
x,C1,D2,T,0,0.0,1.0
x,C1,D2,M,0,0.0,1.0
x,C1,D3,P,0,0.0,2.0
x,C1,D3,S,0,0.0,2.0
x,C1,D3,O,0,0.0,2.0
x,C1,D3,T,0,0.0,1.0
x,C1,D3,M,0,0.0,1.0
x,C1,E1,P,0,0.0,2.0
x,C1,E1,S,0,0.0,2.0
x,C1,E1,O,0,0.0,2.0
x,C1,E1,T,0,0.0,1.0
x,C1,E1,M,0,0.0,1.0
x,C1,E2,P,0,0.0,2.0
x,C1,E2,S,0,0.0,2.0
x,C1,E2,O,0,0.0,2.0
x,C1,E2,T,0,0.0,1.0
x,C1,E2,M,0,0.0,1.0
